Al Martino
Jo Stafford
Nat "King" Cole
Bing Crosby
Guy Mitchell
Rosemary Clooney
Vera Lynn
Frankie Laine
Doris Day
Ray Martin
Mario Lanza
Max Bygraves
Johnnie Ray
Kay Starr
Jane Wyman
Winifred Atwell
Mantovani
The Four Lads
Louis Armstrong
Tony Brent
Eddie Fisher
The Mills Brothers
Jimmy Young
Perry Como
The Ramblers
Ted Heath & His Music
The Stargazers
Art and Dotty Todd
Dickie Valentine
Danny Kaye
Joni James
Lita Roza
Buddy Morrow
Patti Page
The Johnston Brothers
Frank Chacksfield's Tunesmiths,Frank Chacksfield
Billy Cotton and His Band
Jimmy Boyd
Muriel Smith
Ron Goodwin
Sally Sweetland
Dorothy Squires
Vivian Blaine
Gisele Mackenzie
June Hutton
Axel Stordahl
The Boys Next Door
Dean Martin
David Whitfield
Diana Decker
Les Paul & Mary Ford
Lee Lawrence
The Beverley Sisters
Ray Anthony and His Orchestra
Joan Regan
The Squadronaires
Eddie Calvert
Ken Mackintosh
Obernkirchen Children's Choir
Frankie Vaughan
Bonnie Lou
Jose Ferrer
Norman Wisdom
