Here in My Heart,Al Martino,-,-,-,-,-,-,-,-,-,-,#1,-
You Belong to Me,Jo Stafford,-,-,-,-,-,-,-,-,-,-,#1,-
Somewhere Along the Way,Nat "King" Cole,-,-,-,-,-,-,-,-,-,-,#3,-
The Isle of Innisfree,Bing Crosby,-,-,-,-,-,-,-,-,-,-,#3,-
Feet Up (Pat Him on the Po-Po),Guy Mitchell,-,-,-,-,-,-,-,-,-,-,#2,-
Half as Much,Rosemary Clooney,-,-,-,-,-,-,-,-,-,-,#3,-
Forget Me Not,Vera Lynn,-,-,-,-,-,-,-,-,-,-,#5,-
High Noon (Do Not Forsake Me),Frankie Laine,-,-,-,-,-,-,-,-,-,-,#7,-
Sugarbush,Doris Day and Frankie Laine,-,-,-,-,-,-,-,-,-,-,#8,-
Blue Tango,Ray Martin,-,-,-,-,-,-,-,-,-,-,#8,-
The Homing Waltz,Vera Lynn,-,-,-,-,-,-,-,-,-,-,#9,-
Auf Wiederseh'n Sweetheart,Vera Lynn,-,-,-,-,-,-,-,-,-,-,#10,-
Because You're Mine,Mario Lanza,-,-,-,-,-,-,-,-,-,-,#3,-
Cowpuncher's Cantata,Max Bygraves,-,-,-,-,-,-,-,-,-,-,#6,-
Walkin' My Baby Back Home,Johnnie Ray,-,-,-,-,-,-,-,-,-,-,#12,-
Take My Heart,Al Martino,-,-,-,-,-,-,-,-,-,-,#9,-
My Love and Devotion,Doris Day,-,-,-,-,-,-,-,-,-,-,#10,-
Comes A-Long A-Love,Kay Starr,-,-,-,-,-,-,-,-,-,-,#1,-
Zing a Little Zong,Bing Crosby and Jane Wyman,-,-,-,-,-,-,-,-,-,-,#10,-
Britannia Rag,Winifred Atwell,-,-,-,-,-,-,-,-,-,-,#5,-
White Christmas,Mantovani,-,-,-,-,-,-,-,-,-,-,#6,-
Because You're Mine,Nat "King" Cole,-,-,-,-,-,-,-,-,-,-,#6,-
Faith Can Move Mountains,Johnnie Ray and The Four Lads,-,-,-,-,-,-,-,-,-,-,#7,-
"Silent Night, Holy Night",Bing Crosby,-,-,-,-,-,-,-,-,-,-,#8,-
Takes Two to Tango,Louis Armstrong,-,-,-,-,-,-,-,-,-,-,#6,-
Walkin' to Missouri,Tony Brent,-,-,-,-,-,-,-,-,-,-,#7,-
Jambalaya,Jo Stafford,-,-,-,-,-,-,-,-,-,-,#11,-
Faith Can Move Mountains,Nat "King" Cole,-,-,-,-,-,-,-,-,-,-,#10,-
Make it Soon,Tony Brent,-,-,-,-,-,-,-,-,-,-,#9,-
Outside of Heaven,Eddie Fisher,-,-,-,-,-,-,-,-,-,-,#1,-
The Glow Worm,The Mills Brothers,-,-,-,-,-,-,-,-,-,-,#10,-
Faith Can Move Mountains,Jimmy Young,-,-,-,-,-,-,-,-,-,-,#11,-
Don't Let the Stars Get in Your Eyes,Perry Como and The Ramblers,-,-,-,-,-,-,-,-,-,-,#1,-
Vanessa,Ted Heath & His Music,-,-,-,-,-,-,-,-,-,-,#11,-
Got You on My Mind,Tony Brent,-,-,-,-,-,-,-,-,-,-,#12,-
Everything I Have is Yours,Eddie Fisher,-,-,-,-,-,-,-,-,-,-,#8,-
Now,Al Martino,-,-,-,-,-,-,-,-,-,-,#3,-
She Wears Red Feathers,Guy Mitchell,-,-,-,-,-,-,-,-,-,-,#1,-
Broken Wings,The Stargazers,-,-,-,-,-,-,-,-,-,-,#1,-
Broken Wings,Art and Dotty Todd,-,-,-,-,-,-,-,-,-,-,#6,-
